type	name	sc	lefr	zcr
d	d	c	c	c
class
fermo	ristorante_02_035_000	69.121582	460.000000	0.198582
fermo	ristorante_02_035_001	78.937235	449.000000	0.239716
fermo	ristorante_02_035_002	87.032673	456.000000	0.268085
fermo	ristorante_02_036_000	90.615976	431.000000	0.263830
fermo	ristorante_02_036_001	68.189956	468.000000	0.224113
fermo	ristorante_02_036_002	65.603727	486.000000	0.191489
fermo	ristorante_02_037_000	106.733152	451.000000	0.324823
fermo	ristorante_02_037_001	74.021678	473.000000	0.239716
fermo	ristorante_02_037_002	118.462847	456.000000	0.337589
fermo	ristorante_02_038_000	98.983418	416.000000	0.256738
fermo	ristorante_02_038_001	119.274290	458.000000	0.348936
fermo	ristorante_02_038_002	173.272086	454.000000	0.483688
fermo	ristorante_02_039_000	53.842796	471.000000	0.198582
fermo	ristorante_02_039_001	81.472571	453.000000	0.211348
fermo	ristorante_02_039_002	41.289591	443.000000	0.136170
fermo	ristorante_02_040_000	60.137590	464.000000	0.178723
fermo	ristorante_02_040_001	68.891021	470.000000	0.232624
fermo	ristorante_02_040_002	45.212424	482.000000	0.221277
fermo	ristorante_02_041_000	67.666003	464.000000	0.225532
fermo	ristorante_02_041_001	85.011298	445.000000	0.272340
fermo	ristorante_02_041_002	67.125364	446.000000	0.214184
fermo	ristorante_02_042_000	61.531581	509.000000	0.265248
fermo	ristorante_02_042_001	66.218881	454.000000	0.211348
fermo	ristorante_02_042_002	56.334077	418.000000	0.146099
fermo	ristorante_02_043_000	65.574148	467.000000	0.218440
fermo	ristorante_02_043_001	97.615128	471.000000	0.282270
fermo	ristorante_02_043_002	64.540868	462.000000	0.190071
fermo	ristorante_02_044_000	63.063474	452.000000	0.218440
fermo	ristorante_02_044_001	83.393861	467.000000	0.268085
fermo	ristorante_02_044_002	52.323810	490.000000	0.167376
fermo	ristorante_02_045_000	72.095590	460.000000	0.232624
fermo	ristorante_02_045_001	58.466824	433.000000	0.165957
fermo	ristorante_02_045_002	51.474239	459.000000	0.177305
fermo	ristorante_02_046_000	55.145658	461.000000	0.173050
fermo	ristorante_02_046_001	81.253135	449.000000	0.276596
fermo	ristorante_02_046_002	96.227058	463.000000	0.317730
fermo	ristorante_02_047_000	80.082249	446.000000	0.251064
fermo	ristorante_02_047_001	65.770137	468.000000	0.207092
fermo	ristorante_02_047_002	53.119304	466.000000	0.207092
fermo	ristorante_02_048_000	64.060425	449.000000	0.214184
fermo	ristorante_02_048_001	114.817041	443.000000	0.354610
fermo	ristorante_02_048_002	79.856237	455.000000	0.228369
fermo	ristorante_02_049_000	82.984595	477.000000	0.260993
fermo	ristorante_02_049_001	57.207798	444.000000	0.200000
fermo	ristorante_02_049_002	71.397892	450.000000	0.248227
fermo	ristorante_02_050_000	48.176747	462.000000	0.146099
fermo	ristorante_02_050_001	57.725280	457.000000	0.192908
fermo	ristorante_02_050_002	59.764664	459.000000	0.187234
fermo	ristorante_02_051_000	72.433102	453.000000	0.242553
fermo	ristorante_02_051_001	78.717359	476.000000	0.209929
fermo	ristorante_02_051_002	80.117111	480.000000	0.268085
fermo	ristorante_02_052_000	77.206468	467.000000	0.252482
fermo	ristorante_02_052_001	51.338841	441.000000	0.173050
fermo	ristorante_02_052_002	51.094946	462.000000	0.174468
fermo	ristorante_02_053_000	75.653339	460.000000	0.242553
fermo	ristorante_02_053_001	62.492924	448.000000	0.184397
fermo	ristorante_02_053_002	90.811784	466.000000	0.313475
fermo	ristorante_02_054_000	80.601911	466.000000	0.256738
fermo	ristorante_02_054_001	120.416912	468.000000	0.326241
fermo	ristorante_02_054_002	48.662982	467.000000	0.171631
fermo	ristorante_02_055_000	67.323971	501.000000	0.215603
fermo	ristorante_02_055_001	75.445043	442.000000	0.249645
fermo	ristorante_02_055_002	59.511325	464.000000	0.204255
fermo	ristorante_02_056_000	63.654006	449.000000	0.198582
fermo	ristorante_02_056_001	80.498437	482.000000	0.239716
fermo	ristorante_02_056_002	84.957561	469.000000	0.285106
fermo	ristorante_02_057_000	60.917452	462.000000	0.191489
fermo	ristorante_02_057_001	95.305609	463.000000	0.275177
fermo	ristorante_02_057_002	68.988383	461.000000	0.236879
fermo	ristorante_02_058_000	51.553794	486.000000	0.175887
fermo	ristorante_02_058_001	41.578170	446.000000	0.136170
fermo	ristorante_02_058_002	75.657358	465.000000	0.245390
fermo	ristorante_02_059_000	65.012380	471.000000	0.202837
fermo	ristorante_02_059_001	56.661403	467.000000	0.163121
fermo	ristorante_02_059_002	70.908517	459.000000	0.229787
fermo	ristorante_02_060_000	55.120571	447.000000	0.174468
fermo	ristorante_02_060_001	73.327297	470.000000	0.252482
fermo	ristorante_02_060_002	41.001677	450.000000	0.147518
fermo	ristorante_02_061_000	73.997357	459.000000	0.239716
fermo	ristorante_02_061_001	46.130728	444.000000	0.143262
fermo	ristorante_02_061_002	65.972589	462.000000	0.221277
fermo	ristorante_02_062_000	66.466165	467.000000	0.245390
fermo	ristorante_02_062_001	57.872054	470.000000	0.194326
fermo	ristorante_02_062_002	38.422442	450.000000	0.123404
fermo	ristorante_02_063_000	52.159356	475.000000	0.161702
fermo	ristorante_02_063_001	111.196114	434.000000	0.285106
fermo	ristorante_02_063_002	61.763037	460.000000	0.205674
fermo	ristorante_02_064_000	91.389790	464.000000	0.253901
fermo	ristorante_02_064_001	64.609089	484.000000	0.195745
fermo	ristorante_02_064_002	107.453466	462.000000	0.292199
fermo	ristorante_02_065_000	61.670860	478.000000	0.229787
fermo	ristorante_02_065_001	55.884401	440.000000	0.151773
fermo	ristorante_02_065_002	78.383011	442.000000	0.219858
fermo	ristorante_02_066_000	52.061394	457.000000	0.165957
fermo	ristorante_02_066_001	86.404347	470.000000	0.276596
fermo	ristorante_02_066_002	100.738711	482.000000	0.272340
fermo	ristorante_02_067_000	125.223010	482.000000	0.364539
fermo	ristorante_02_067_001	85.397521	462.000000	0.245390
fermo	ristorante_02_067_002	81.837598	439.000000	0.239716
fermo	ristorante_02_068_000	103.905563	470.000000	0.290780
fermo	ristorante_02_068_001	56.408596	460.000000	0.180142
fermo	ristorante_02_068_002	61.261439	452.000000	0.188652
fermo	ristorante_02_069_000	79.266888	393.000000	0.207092
fermo	ristorante_02_069_001	52.787321	465.000000	0.168794
fermo	ristorante_02_069_002	55.423009	468.000000	0.194326
fermo	ristorante_02_070_000	95.844391	393.000000	0.252482
fermo	ristorante_02_070_001	65.824153	434.000000	0.214184
fermo	ristorante_02_070_002	58.783762	458.000000	0.181560
fermo	ristorante_02_071_000	56.856042	487.000000	0.182979
fermo	ristorante_02_071_001	112.308054	444.000000	0.331915
fermo	ristorante_02_071_002	54.606745	448.000000	0.184397
fermo	ristorante_02_072_000	47.300816	470.000000	0.161702
fermo	ristorante_02_072_001	46.743741	463.000000	0.143262
fermo	ristorante_02_072_002	55.398048	487.000000	0.158865
fermo	ristorante_02_073_000	68.759271	488.000000	0.211348
fermo	ristorante_02_073_001	57.858991	411.000000	0.153191
fermo	ristorante_02_073_002	56.689416	503.000000	0.187234
fermo	ristorante_02_074_000	63.700947	480.000000	0.205674
fermo	ristorante_02_074_001	45.457910	515.000000	0.143262
fermo	ristorante_02_074_002	64.102122	466.000000	0.205674
fermo	ristorante_02_075_000	53.918699	442.000000	0.170213
fermo	ristorante_02_075_001	56.013331	453.000000	0.165957
fermo	ristorante_02_075_002	81.103440	453.000000	0.292199
fermo	ristorante_02_076_000	94.928053	414.000000	0.275177
fermo	ristorante_02_076_001	77.975750	453.000000	0.279433
fermo	ristorante_02_076_002	85.853885	440.000000	0.252482
fermo	ristorante_02_077_000	77.972385	425.000000	0.204255
fermo	ristorante_02_077_001	43.045272	466.000000	0.133333
fermo	ristorante_02_077_002	64.981842	460.000000	0.224113
fermo	ristorante_02_078_000	71.453442	471.000000	0.222695
fermo	ristorante_02_078_001	53.833455	464.000000	0.192908
fermo	ristorante_02_078_002	53.261061	451.000000	0.164539
fermo	ristorante_02_079_000	79.746095	469.000000	0.258156
fermo	ristorante_02_079_001	67.796413	453.000000	0.229787
fermo	ristorante_02_079_002	81.872412	477.000000	0.243972
fermo	ristorante_02_080_000	65.863911	461.000000	0.194326
fermo	ristorante_02_080_001	87.451468	431.000000	0.252482
fermo	ristorante_02_080_002	58.140207	442.000000	0.190071
fermo	ristorante_02_081_000	126.979274	439.000000	0.330496
fermo	ristorante_02_081_001	114.625183	447.000000	0.324823
fermo	ristorante_02_081_002	81.369950	465.000000	0.243972
fermo	ristorante_02_082_000	74.545846	447.000000	0.259574
fermo	ristorante_02_082_001	69.515188	424.000000	0.218440
fermo	ristorante_02_082_002	112.623711	455.000000	0.326241
fermo	ristorante_02_083_000	73.507656	455.000000	0.256738
fermo	ristorante_02_083_001	81.813170	473.000000	0.287943
fermo	ristorante_02_083_002	56.341033	428.000000	0.150355
fermo	ristorante_02_084_000	57.692350	457.000000	0.177305
fermo	ristorante_02_084_001	67.858305	441.000000	0.200000
fermo	ristorante_02_084_002	68.709698	469.000000	0.235461
fermo	ristorante_02_085_000	105.766893	428.000000	0.336170
fermo	ristorante_02_085_001	57.075656	446.000000	0.164539
fermo	ristorante_02_085_002	101.542168	447.000000	0.292199
fermo	ristorante_02_086_000	102.781787	461.000000	0.309220
fermo	ristorante_02_086_001	57.876794	457.000000	0.184397
fermo	ristorante_02_086_002	66.889576	474.000000	0.201418
fermo	ristorante_02_087_000	94.994328	451.000000	0.293617
fermo	ristorante_02_087_001	93.176154	470.000000	0.269504
fermo	ristorante_02_087_002	35.707403	471.000000	0.140426
fermo	ristorante_02_088_000	98.767295	440.000000	0.287943
fermo	ristorante_02_088_001	61.310633	475.000000	0.208511
fermo	ristorante_02_088_002	53.021830	468.000000	0.180142
fermo	ristorante_02_089_000	71.050046	464.000000	0.208511
fermo	ristorante_02_089_001	65.759235	471.000000	0.180142
fermo	ristorante_02_089_002	48.682861	476.000000	0.164539
fermo	ristorante_02_090_000	55.664633	441.000000	0.161702
fermo	ristorante_02_090_001	53.861429	452.000000	0.185816
fermo	ristorante_02_090_002	91.980430	466.000000	0.229787
fermo	ristorante_02_091_000	72.900281	447.000000	0.222695
fermo	ristorante_02_091_001	81.100468	479.000000	0.259574
fermo	ristorante_02_091_002	63.574793	461.000000	0.212766
fermo	ristorante_02_092_000	69.438736	454.000000	0.231206
fermo	ristorante_02_092_001	57.190607	461.000000	0.191489
fermo	ristorante_02_092_002	85.317327	455.000000	0.253901
fermo	ristorante_02_093_000	71.233640	456.000000	0.236879
fermo	ristorante_02_093_001	82.746079	449.000000	0.243972
fermo	ristorante_02_093_002	121.299839	443.000000	0.331915
fermo	ristorante_02_094_000	61.809560	439.000000	0.168794
fermo	ristorante_02_094_001	59.543704	446.000000	0.171631
fermo	ristorante_02_094_002	70.349109	457.000000	0.228369
fermo	ristorante_02_095_000	56.129828	469.000000	0.184397
fermo	ristorante_02_095_001	56.895673	428.000000	0.157447
fermo	ristorante_02_095_002	69.009235	456.000000	0.207092
fermo	ristorante_02_096_000	67.191489	458.000000	0.207092
fermo	ristorante_02_096_001	76.360692	456.000000	0.238298
fermo	ristorante_02_096_002	45.814741	472.000000	0.131915
fermo	ristorante_02_097_000	70.685945	475.000000	0.252482
fermo	ristorante_02_097_001	48.495016	448.000000	0.144681
fermo	ristorante_02_097_002	64.047255	445.000000	0.185816
fermo	ristorante_02_098_000	71.799984	467.000000	0.215603
fermo	ristorante_02_098_001	65.816839	462.000000	0.212766
fermo	ristorante_02_098_002	51.673149	468.000000	0.143262
fermo	ristorante_02_099_000	98.638380	407.000000	0.263830
fermo	ristorante_02_099_001	90.752737	432.000000	0.256738
fermo	ristorante_02_099_002	82.062694	448.000000	0.228369
